journal_name,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,journalrank
DEFENCE-SCI-J,0.047619047619047616,0.0,0.3175515416894727,0.003992304364965752,0.016346575618936786
ISCIENCE,0.4126984126984127,0.0014358852588499287,0.4767573696145125,0.10444231719794195,0.002671819560406337
ROY-SOC-OPEN-SCI,0.5555555555555556,0.013417204200495445,0.5134310134310134,0.18201502994331098,0.004451061361192056
SCI-ENG-ETHICS,0.2222222222222222,0.004431819703008824,0.4603174603174603,0.07167775254860807,0.004773217253591601
FRONT-LIFE-SCI,0.06349206349206349,0.0,0.452515469464622,0.04041294047061425,0.0024684231309351073
GIGASCIENCE,0.2857142857142857,0.0010533448968245637,0.481052481052481,0.10560784188719702,0.003750520853754636
MIT-TECHNOL-REV,0.07936507936507936,0.0,0.44559651817716334,0.0715833800543049,0.0025165889151578533
GLOB-CHALL,0.14285714285714285,0.00014550623116630165,0.3583679556833919,0.017000330644698892,0.00248155551837388
NATL-SCI-REV,0.3333333333333333,0.00037785125997830436,0.4683932052353105,0.1290252698096669,0.0031373470370867082
INTERDISCIPL-SCI-REV,0.031746031746031744,0.0,0.0,4.802656733507893e-15,0.0024426515359179768
IRAN-J-SCI-TECHNOL-A,0.15873015873015872,0.014804249059241378,0.3122621368235403,0.003992304364965752,0.004957366930392664
J-RADIAT-RES-APPL-SC,0.09523809523809523,0.0007677379797195465,0.4204474440694913,0.02011993000892569,0.002719754420940347
P-NATL-A-SCI-INDIA-A,0.06349206349206349,0.00017067759003242872,0.23731922398589064,0.00027019510085699364,0.007327578295925365
SCI-BULL,0.30158730158730157,0.0001486556390776143,0.4643202208419599,0.12182433558829653,0.003809264639322041
ISSUES-SCI-TECHNOL,0.07936507936507936,0.0,0.40627917833800187,0.036022123249264154,0.016629411754289676
J-INDIAN-I-SCI,0.07936507936507936,0.0,0.0,4.802656733507893e-15,0.0024426515359179768
P-ROMANIAN-ACAD-A,0.14285714285714285,0.0003132404316816961,0.43061955965181764,0.029700566251731335,0.010272719209051321
J-NATL-SCI-FOUND-SRI,0.1111111111111111,0.0,0.43412053168150727,0.021936452450568314,0.0027626579032718596
S-AFR-J-SCI,0.1746031746031746,0.0016680778969565453,0.41074481074481073,0.03409330279536407,0.0029991726776217487
KUWAIT-J-SCI,0.06349206349206349,0.0,0.3122621368235403,0.003992304364965752,0.0144635102747355
MAEJO-INT-J-SCI-TECH,0.015873015873015872,0.0,0.0,4.802656733507893e-15,0.0024426515359179768
NEW-SCI,0.031746031746031744,0.0,0.4033136368902792,0.021562608644262748,0.0024874681287939955
SCIENTIST,0.1111111111111111,0.0,0.38975784961186416,0.017019556056510822,0.002447560952473001
NPJ-MICROGRAVITY,0.06349206349206349,0.0,0.41074481074481073,0.019866867074561645,0.0024855845624228356
REND-LINCEI-SCI-FIS,0.20634920634920634,0.0008431269759994798,0.45638312304978973,0.04848446442423619,0.004183761405118569
RES-SYNTH-METHODS,0.047619047619047616,0.0,0.43412053168150727,0.02054607339605741,0.002627759862157762
SCI-PROGRESS-UK,0.14285714285714285,0.0011343964108941067,0.41074481074481073,0.021211287351467732,0.003199348559413365
T-ROY-SOC-SOUTH-AUST,0.047619047619047616,0.0,0.0,9.835840990224165e-12,0.0058771346673276775
ENDEAVOUR,0.0,0.0,0.0,4.802656733507893e-15,0.0024426515359179768
