,ACTA-SCI-TECHNOL,ADV-COMPLEX-SYST,ADV-THEOR-SIMUL,AN-ACAD-BRAS-CIENC,ANN-NY-ACAD-SCI,ARAB-J-SCI-ENG,CHIANG-MAI-J-SCI,COMPLEXITY,CR-ACAD-BULG-SCI,CURR-SCI-INDIA,DEFENCE-SCI-J,DISCRETE-DYN-NAT-SOC,ENDEAVOUR,FRACTALS,FRONT-BIOENG-BIOTECH,FRONT-LIFE-SCI,GIGASCIENCE,GLOB-CHALL,INTERDISCIPL-SCI-REV,INT-J-BIFURCAT-CHAOS,IRAN-J-SCI-TECHNOL-A,ISCIENCE,ISSUES-SCI-TECHNOL,J-ADV-RES,J-INDIAN-I-SCI,J-KING-SAUD-UNIV-SCI,J-NATL-SCI-FOUND-SRI,JOVE-J-VIS-EXP,J-RADIAT-RES-APPL-SC,J-R-SOC-INTERFACE,J-TAIBAH-UNIV-SCI,KUWAIT-J-SCI,MAEJO-INT-J-SCI-TECH,MIT-TECHNOL-REV,NAT-COMMUN,NAT-HUM-BEHAV,NATL-ACAD-SCI-LETT,NATL-SCI-REV,NATURE,NEW-SCI,NPJ-MICROGRAVITY,PHILOS-T-R-SOC-A,P-JPN-ACAD-B-PHYS,PLOS-ONE,P-NATL-ACAD-SCI-USA,P-NATL-A-SCI-INDIA-A,P-ROMANIAN-ACAD-A,REND-LINCEI-SCI-FIS,RES-SYNTH-METHODS,ROY-SOC-OPEN-SCI,S-AFR-J-SCI,SAINS-MALAYS,SCI-ADV,SCI-AM,SCI-BULL,SCI-DATA,SCIENCE,SCIENCEASIA,SCI-ENG-ETHICS,SCIENTIST,SCI-PROGRESS-UK,SCI-REP-UK,SYMMETRY-BASEL,T-ROY-SOC-SOUTH-AUST
NEW-SCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPJ-MICROGRAVITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32948,0,0,0,0,0,0,32948,0,0,0,8237,0,172981,0,0,156507,16474,0,0,16474,0,0,0,0,0,0,0,0,24711,0,0,0,0,164744,0,0
PHILOS-T-R-SOC-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092,0,0,0,0,0,0,0,0,0,32739,0,0,0,0,181092,0,0,0,127890,0,0,371393,1023,30693,69572,0,0,0,0,4092,0,0,22508,0,0,2046,135052,0,0,0,0,112543,0,0
P-JPN-ACAD-B-PHYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004366,0,0,0,1615720,0,0,0,87336,655021,1004366,0,0,0,0,0,0,0,0,0,0,0,1048034,0,0,0,0,960698,0,0
PLOS-ONE,0,133,0,228,1849,171,57,190,0,495,0,190,0,19,400,57,972,38,19,38,0,76,0,190,0,76,38,2688,38,2688,0,0,0,38,20420,915,0,38,31059,0,76,324,57,272649,40268,0,0,38,514,2154,76,57,2707,95,171,1029,21945,0,343,0,19,58381,305,0
P-NATL-ACAD-SCI-USA,0,57,0,0,2477,0,0,230,0,57,0,57,0,0,633,0,1152,0,0,0,0,576,288,115,0,0,0,4090,0,5473,0,0,0,57,132045,2477,0,403,165056,0,0,2534,230,91141,352523,0,0,0,0,1440,115,0,19472,172,460,1958,149674,0,115,0,0,73569,0,0
P-NATL-A-SCI-INDIA-A,0,0,0,0,0,0,0,0,0,15105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P-ROMANIAN-ACAD-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19762,0,0,0,19762,0,0,0,0,0,0,0,296442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REND-LINCEI-SCI-FIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4497,0,0,0,0,24735,0,0,0,65212,0,0,6746,0,26984,17989,0,0,211378,0,0,0,0,0,0,0,0,74207,0,0,0,0,40476,0,0
RES-SYNTH-METHODS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23923,0,0,0,0,137559,11961,0,0,0,693779,0,0,0,0,0,0,0,17942,0,0,0,0,0,0,0
ROY-SOC-OPEN-SCI,0,876,0,292,2630,1169,0,876,0,0,0,0,0,0,0,0,876,0,0,1169,0,0,584,0,0,0,0,1753,0,19875,0,0,0,292,33320,6138,0,0,40335,0,0,2630,0,153450,71317,0,0,0,0,62257,584,0,9060,584,584,876,41796,0,0,0,0,88270,0,0
S-AFR-J-SCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6677,0,0,0,46744,0,0,0,0,140233,26711,0,0,0,0,0,170283,0,6677,3338,0,0,33388,0,3338,0,0,16694,0,0
SAINS-MALAYS,0,0,0,1905,0,0,2858,0,0,2858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2858,0,0,0,0,0,0,3811,0,0,0,2858,0,0,952,0,76226,4764,0,0,0,0,0,1905,202953,0,0,0,0,1905,3811,0,0,0,22868,0,0
SCI-ADV,0,0,339,169,2036,0,0,0,0,0,0,0,0,0,0,0,1018,509,0,0,0,339,0,0,0,0,0,4243,0,5601,0,0,0,0,232866,1697,0,1188,210292,0,0,3734,0,72643,170745,0,0,0,0,509,169,0,79771,0,1018,2036,218608,0,0,0,0,99120,0,0
SCI-AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259740,0,0,0,389610,0,0,0,0,0,389610,0,0,0,0,0,0,0,0,519480,0,0,389610,0,0,0,0,0,0,0
SCI-BULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2578,0,0,0,0,0,0,0,0,0,2578,0,0,0,0,0,0,321041,0,0,16761,186952,0,0,6446,0,34811,90252,0,0,0,0,0,0,0,43837,0,465446,0,260443,0,0,0,0,146982,0,0
SCI-DATA,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,41995,0,0,0,0,0,0,0,0,0,0,3558,0,8541,0,0,0,0,76162,2847,0,0,112463,0,0,1423,0,173677,79720,0,0,0,0,1423,0,0,11388,0,0,204996,74738,0,0,0,0,93245,0,0
SCIENCE,0,0,0,0,1721,0,0,0,0,0,0,0,0,0,0,0,3933,0,0,0,0,983,0,0,0,0,0,5163,0,1966,0,0,0,0,200875,737,0,737,450432,0,0,3688,245,77202,217594,0,0,0,0,1721,0,0,46961,1229,491,6884,622787,0,0,0,0,69826,0,0
SCIENCEASIA,0,0,0,0,0,0,15082,0,10055,5027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10055,0,0,0,0,0,0,0,0,0,0,0,0,5027,0,0,0,0,80442,5027,0,0,0,0,0,0,10055,0,0,0,0,10055,70387,0,0,0,30165,0,0
SCI-ENG-ETHICS,0,0,0,2624,0,0,0,0,0,5249,0,0,0,0,0,0,0,0,0,0,0,0,5249,0,0,0,0,0,0,5249,0,0,0,0,0,7874,0,0,115485,7874,0,5249,0,115485,47244,0,0,0,0,0,0,0,0,2624,0,0,112860,0,430446,0,0,5249,0,0
SCIENTIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160000,0,0,0,346666,0,0,0,0,213333,400000,0,0,0,0,0,0,0,0,0,0,0,506666,0,0,0,0,240000,0,0
SCI-PROGRESS-UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730,0,0,0,0,0,0,0,0,0,0,0,35460,0,0,0,0,124113,0,0,0,141843,0,0,0,0,319148,195035,0,0,0,0,35460,0,0,35460,0,0,0,248226,0,0,0,425531,212765,0,0
SCI-REP-UK,0,20,50,211,2063,50,20,161,0,301,0,30,10,50,684,40,1549,0,0,171,30,362,0,171,30,100,0,4518,80,2878,20,0,10,0,63473,593,30,221,58280,0,332,885,150,165281,63523,0,30,60,40,2465,40,90,6873,100,452,1207,41081,20,100,0,50,180598,201,0
SYMMETRY-BASEL,0,0,0,372,0,3906,558,4464,558,0,372,3720,0,1116,0,0,0,0,0,2790,2418,0,0,372,0,2232,0,0,0,1116,744,558,0,0,12091,0,0,0,11161,0,0,2046,0,21021,6324,0,558,372,0,930,0,930,2418,186,0,0,9673,0,0,0,0,20649,209096,0
T-ROY-SOC-SOUTH-AUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16949,0,0,0,0,84745,16949,0,0,0,0,0,0,0,0,0,0,0,67796,0,0,0,0,0,0,186440
