Journal Name,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,JournalRank,Influence Factor,Total Articles,Number of References,Total Cites
NATL-ACAD-SCI-LETT,0.063492,0.000085,0.314099,0.004643,0.002509,0.416,98,1587,491
NPJ-MICROGRAVITY,0.063492,0,0.410745,0.019867,0.002486,3.38,28,1214,347
FRONT-LIFE-SCI,0.063492,0,0.452515,0.040413,0.002468,1.273,3,123,315
DEFENCE-SCI-J,0.047619,0,0.317552,0.003992,0.016347,0.73,90,1805,1041
T-ROY-SOC-SOUTH-AUST,0.047619,0,0,0,0.005877,0.667,13,590,444
RES-SYNTH-METHODS,0.047619,0,0.434121,0.020546,0.002628,5.299,38,1672,2572
NEW-SCI,0.031746,0,0.403314,0.021563,0.002487,0.272,174,0,797
CR-ACAD-BULG-SCI,0.031746,0,0,0,0.002443,0.343,216,3379,653
INTERDISCIPL-SCI-REV,0.031746,0,0,0,0.002443,0.196,24,1267,300
ACTA-SCI-TECHNOL,0.015873,0,0,0,0.002443,0.422,60,1574,372
MAEJO-INT-J-SCI-TECH,0.015873,0,0,0,0.002443,0.326,17,485,215
ENDEAVOUR,0,0,0,0,0.002443,0.303,10,534,570
